Player,id
Larry Allen,AlleLa00
Tony Boselli,BoseTo00
Derrick Brooks,BrooDe00
Kevin Carter,CartKe00
Marshall Faulk,FaulMa00
Tony Gonzalez,GonzTo00
Kevin Hardy,HardKe00
Marvin Harrison,HarrMa00
Edgerrin James,JameEd00
Jevon Kearse,KearJe00
Ray Lewis,LewiRa00
John Lynch,LyncJo00
Sam Madison,MadiSa00
Orlando Pace,PaceOr00
Warren Sapp,SappWa00
Kurt Warner,WarnKu00
Olindo Mare,marexoli01
Mitch Berger,BergMi20
Darrell Russell,RussDa00
Cris Carter,CartCr00
Bruce Matthews,MattBr00
Kevin Mawae,MawaKe00
Glyn Milburn,MilbGl00
Lawyer Milloy,MillLa00
Charles Woodson,WoodCh00
Isaac Bruce,BrucIs00
Carnell Lake,LakeCa00
Deion Sanders,SandDe00
Michael Bates,BateMi00
Jeff Christy,ChriJe00
Trevor Pryce,PrycTr00
Tom Tupa,TupaTo20
Tom Nalen,NaleTo00
Mike Alstott,AlstMi00
Will Shields,ShieWi00
Zach Thomas,ThomZa01
Jessie Armstead,ArmsJe00
Peter Boulware,BoulPe00
Tony Brackens,BracTo00
Ruben Brown,BrowRu00
Stephen Davis,DaviSt00
Eddie George,GeorEd00
Tre' Johnson,JohnTr03
Todd Lyght,LyghTo00
Peyton Manning,MannPe00
Hardy Nickerson,NickHa00
Jonathan Ogden,OgdeJo00
Jimmy Smith,SmitJi00
Wesley Walls,WallWe00
Brian Dawkins,DawkBr00
Luther Elliss,ElliLu00
Tremain Mack,MackTr00
Robert Porcher,PorcRo00
Willie Roaf,RoafWi00
Detron Smith,SmitDe00
Jason Hanson,hansojas01
Sam Gash,GashSa00
Simeon Rice,RiceSi00
Leon Searcy,SearLe00
Junior Seau,SeauJu00
Bryant Young,YounBr00
Steve Beuerlein,BeueSt00
Stephen Boyd,BoydSt00
Chad Brown,BrowCh04
Tim Brown,BrowTi00
Mark Brunell,BrunMa00
Dexter Coakley,CoakDe00
Corey Dillon,DillCo00
Rich Gannon,GannRi00
Terry Glenn,GlenTe00
Tim Grunhard,GrunTi20
James Hasty,HastJa00
Brad Johnson,JohnBr00
Keyshawn Johnson,JohnKe00
Walter Jones,JoneWa00
Cortez Kennedy,KennCo00
Mo Lewis,LewiMo00
Tony Mayberry,MaybTo00
Michael McCrary,McCrMi00
Randall McDaniel,McDaRa00
Randy Moss,MossRa00
Muhsin Muhammad,MuhaMu00
Lance Schulters,SchuLa00
David Sloan,SloaDa00
Emmitt Smith,SmitEm00
Michael Strahan,StraMi02
Troy Vincent,VincTr00
Aeneas Williams,WillAe00
Erik Williams,WillEr01
Rod Woodson,WoodRo01
Frank Wycheck,WychFr00
Hugh Douglas,DougHu00
La'Roi Glover,GlovLa00
Derrick Mason,MasoDe00
Samari Rolle,RollSa00
Darren Sharper,SharDa00
Jason Taylor,TaylJa03
Matt Stover,stovemat01
Darren Bennett,BennDa20
Terrell Owens,OwenTe00
Jeremiah Trotter,TrotJe00
Sam Adams,AdamSa00
Trace Armstrong,ArmsTr00
Champ Bailey,BailCh00
Chad Lewis,LewiCh00
Robert Smith,SmitRo00
Rod Smith,SmitRo01
Steve Wisniewski,WisnSt00
Martin Gramatica,gramamar01
Matt Birk,BirkMa00
Daunte Culpepper,CulpDa00
Brad Hopkins,HopkBr00
Desmond Howard,HowaDe00
Larry Izzo,IzzoLa00
Joe Johnson,JohnJo04
Brock Marion,MariBr00
Keith Mitchell,MitcKe00
Scott Player,PlaySc20
Ron Stone,StonRo00
Blaine Bishop,BishBl00
Sam Cowart,CowaSa00
Donnie Abraham,AbraDo00
Stephen Alexander,AlexSt00
Richie Anderson,AndeRi00
Marco Coleman,ColeMa00
