Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LG,Larry Allen\AlleLa00,NFC,DAL,28,5,11,11,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Tony Boselli\BoseTo00,AFC,JAX,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RLB,Derrick Brooks\BrooDe00,NFC,TAM,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,119,2.0,4,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LDE,Kevin Carter\CartKe00,NFC,STL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,36,17.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Marshall Faulk\FaulMa00,NFC,STL,26,5,16,16,0,1,0,0,0,253,1381,7,87,1048,5,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Tony Gonzalez\GonzTo00,AFC,KAN,23,2,15,15,0,0,0,0,0,0,0,0,76,849,11,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RLB,Kevin Hardy\HardKe00,AFC,JAX,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,74,10.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Marvin Harrison\HarrMa00,AFC,IND,27,3,16,16,0,0,0,0,0,1,4,0,115,1663,12,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Edgerrin James\JameEd00,AFC,IND,21,Rook,16,16,0,0,0,0,0,369,1553,13,62,586,4,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LDE,Jevon Kearse\KearJe00,AFC,TEN,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,49,14.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
MLB,Ray Lewis\LewiRa00,AFC,BAL,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,130,3.5,3,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
SS,John Lynch\LyncJo00,NFC,TAM,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,81,0.5,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
