Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RB,Shaun Alexander\AlexSh00,NFC,SEA,28,5,16,16,0,0,0,0,0,370,1880,27,15,78,1,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LCB,Champ Bailey\BailCh00,AFC,DEN,27,6,14,14,0,0,0,0,0,0,0,0,0,0,0,60,0.0,8,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Alan Faneca\FaneAl00,AFC,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Dwight Freeney\FreeDw00,AFC,IND,25,3,16,13,0,0,0,0,0,0,0,0,0,0,0,36,11.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Antonio Gates\GateAn00,AFC,SDG,25,2,15,15,0,0,0,0,0,0,0,0,89,1101,10,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Steve Hutchinson\HutcSt00,NFC,SEA,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Chad Johnson\JohnCh01,AFC,CIN,27,4,16,16,0,0,0,0,0,5,33,0,97,1432,9,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Walter Jones\JoneWa00,NFC,SEA,31,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Peyton Manning\MannPe00,AFC,IND,29,7,16,16,305,453,3747,28,10,33,45,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Jerome Mathis\MathJe00,AFC,HOU,22,Rook,12,0,0,0,0,0,0,0,0,0,5,65,1,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
