Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
,Devin Hester\HestDe99,NFC,CHI,24,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0,PFW: 1st Tm All-Conf. PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LCB,Champ Bailey\BailCh00,AFC,DEN,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,74,0.0,10,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Drew Brees\BreeDr00,NFC,NOR,27,5,16,16,356,554,4418,26,11,42,32,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Antonio Gates\GateAn00,AFC,SDG,26,3,16,16,0,0,0,0,0,0,0,0,71,924,9,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Marvin Harrison\HarrMa00,AFC,IND,34,10,16,16,0,0,0,0,0,0,0,0,95,1366,12,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Chad Johnson\JohnCh01,AFC,CIN,28,5,16,16,0,0,0,0,0,6,24,0,87,1369,7,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Larry Johnson\JohnLa00,AFC,KAN,27,3,16,16,0,1,0,0,0,416,1789,17,41,410,2,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
C,Olin Kreutz\KreuOl00,NFC,CHI,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LCB,Rashean Mathis\MathRa99,AFC,JAX,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,56,0.0,8,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LOLB,Shawne Merriman\MerrSh99,AFC,SDG,22,1,12,12,0,0,0,0,0,0,0,0,0,0,0,49,17.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Brian Moorman\MoorBr24,AFC,BUF,30,5,16,0,0,1,0,0,0,2,2,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LDE,Julius Peppers\PeppJu99,NFC,CAR,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,49,13.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Ed Reed\ReedEd00,AFC,BAL,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,52,0.0,5,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Jason Taylor\TaylJa03,AFC,MIA,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,42,13.5,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,LaDainian Tomlinson\TomlLa00,AFC,SDG,27,5,16,16,2,3,20,2,0,348,1815,28,56,508,3,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
MLB,Brian Urlacher\UrlaBr00,NFC,CHI,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,93,0.0,3,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
NT,Jamal Williams\WillJa99,AFC,SDG,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,49,2.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Kevin Williams\WillKe98,NFC,MIN,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,28,5.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Robbie Gould\gouldrob01,NFC,CHI,24,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Steve Hutchinson\HutcSt00,NFC,MIN,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
LT,Walter Jones\JoneWa00,NFC,SEA,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
,Justin Miller\MillJu99,AFC,NYJ,22,1,16,4,0,0,0,0,0,0,0,0,0,0,0,46,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
