Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,pro bowl?
Mike Edwards,CB,69,189,4.56,36,14,124,6.94,4.18,0
Johnathan Abram,S,71,205,4.45,,,116,,,0
Paul Adams,OT,78,317,5.18,27,16,103,7.68,4.74,0
Nasir Adderley,S,72,206,,,,,,,0
Azeez Al-Shaair,LB,73,234,,,16,,,,0
Otaro Alaka,LB,75,239,4.82,36,20,131,,,0
Dakota Allen,LB,73,232,4.77,31.5,23,116,6.88,4.04,0
Bryson Allen-Williams,LB,73,236,4.88,,14,,7.4,,0
Jeff Allison,LB,71,228,4.82,31,12,115,7.2,4.45,0
Ugo Amadi,S,69,199,4.51,32.5,18,115,7.21,4.19,0
Rodney Anderson,RB,72,224,,,25,,,,0
J.J. Arcega-Whiteside,WR,74,225,,,,,,,0
Ryquell Armstead,RB,71,220,4.45,30,22,114,7.02,4.29,0
Blessuan Austin,CB,73,198,,,15,,,,0
Jake Bailey,P,73,200,4.72,33,,117,,,1
Zack Bailey,OL,77,299,,28,24,103,,,0
Derrick Baity,CB,74,197,,38.5,10,127,7.06,4.31,0
Deandre Baker,CB,71,193,4.52,,14,118,,,0
Corey Ballentine,CB,71,196,4.47,39.5,15,135,6.82,4.14,0
Ben Banogu,EDG,75,250,4.62,40,23,134,7.02,4.27,0
Alex Barnes,RB,72,226,4.59,38.5,34,126,6.95,4.1,0
Alex Bars,OG,78,312,,,,,,,0
Cody Barton,LB,74,237,4.64,32.5,30,116,6.9,4.03,0
Jackson Barton,OT,79,310,5.18,27,25,109,7.85,4.66,0
Ryan Bates,OT,76,306,5.09,27,28,102,7.45,4.53,0
John Battle,S,72,201,4.67,29.5,,120,7.09,4.33,0
Terry Beckner,DT,76,296,5.19,24.5,28,98,7.97,4.82,0
Beau Benzschawel,OG,78,309,5.24,,20,,,,0
Marquise Blair,S,73,195,4.48,35,,125,,,0
Kendall Blanton,TE,78,262,4.95,31,22,113,7.37,4.42,0
