Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,pro bowl?
John Abraham,OLB,76,252,4.55,,,,,,1
Shaun Alexander,RB,72,218,4.58,,,,,,1
Darnell Alford,OT,76,334,5.56,25,23,94,8.48,4.98,0
Kyle Allamon,TE,74,253,4.97,29,,104,7.29,4.49,0
Rashard Anderson,CB,74,206,4.55,34,,123,7.18,4.15,0
Jake Arians,K,70,202,,,,,,,0
LaVar Arrington,OLB,75,250,4.53,,,,,,1
Corey Atkins,OLB,72,237,4.72,31,21,112,7.96,4.39,0
Kyle Atteberry,K,72,167,,,,,,,0
Reggie Austin,CB,69,175,4.44,35,17,119,7.03,4.14,0
John Baker,P,75,227,,,,,,,0
Mark Baniewicz,OT,78,312,5.34,28,20,96,7.72,4.73,0
Rashidi Barnes,FS,72,208,4.62,35,10,114,6.92,4.32,0
David Barrett,CB,70,199,4.44,37.5,16,116,6.81,4.04,0
William Bartee,CB,73,192,4.43,38.5,,124,6.7,3.99,0
Andrew Bayes,P,74,200,,,,,,,0
Terrance Beadles,OG,75,312,5.19,,29,,,,0
Robert Bean,CB,71,178,4.5,34.5,,122,6.87,4.2,0
Anthony Becht,TE,78,270,4.78,33.5,,123,6.94,4.08,0
Matt Beck,ILB,75,234,4.65,,,,,,0
Rogers Beckett,FS,73,207,4.62,39.5,15,119,6.48,4.29,0
Brad Bedell,OG,76,302,5.07,31.5,17,103,7.76,4.58,0
Marcus Bell-01,ILB,74,237,4.78,31.5,21,111,7.17,4.33,0
Gary Berry,FS,71,204,4.55,,,,,,0
Michael Boireau,DE,76,274,5.09,29,26,105,7.68,4.49,0
Matt Bowen,SS,73,201,4.49,33,12,115,7.06,4.09,0
Carl Bradley,DT,74,300,5.03,,,,,,0
Tom Brady,QB,76,211,5.28,24.5,,99,7.2,4.38,1
Robert Brannon,DT,76,309,5.19,28.5,28,99,7.82,4.7,0
Travis Brown-01,QB,75,218,5.01,29,,101,7.54,4.87,0
Ralph Brown,CB,70,185,4.55,,10,,,,0
Mike Brown,SS,70,204,4.59,36,14,116,6.93,4.01,1
Keith Brown,RB,71,216,4.66,30,,117,6.64,4.08,0
Demario Brown,RB,72,217,4.72,31,,107,7.17,4.39,0
Courtney Brown,DE,77,269,4.78,,,,,,0
Lamont Bryant,DE,75,260,4.91,,17,,,,0
Marc Bulger,QB,74,208,4.97,,,100,7.46,4.34,1
Keith Bulluck,OLB,75,244,4.47,38,,119,7.33,4.13,1
Bill Burke,QB,76,206,5.03,28.5,,107,7.46,4.42,0
Plaxico Burress,WR,77,231,4.59,33,,115,,,0
David Byrd,CB,71,202,4.53,36,14,117,7.18,4.39,0
Trung Canidate,RB,71,193,4.41,,18,,,,0
Cooper Carlisle,OG,77,297,5.16,31,28,100,7.82,4.48,0
Giovanni Carmazzi,QB,75,224,4.74,36.5,,119,6.94,4.23,0
Leonardo Carson,DE,73,283,5.06,28,22,106,7.82,4.75,0
